function_id,name,tier,confidence,export_name,signature,Classic/1.00,Classic/1.01,Classic/1.02,Classic/1.03,Classic/1.04b,Classic/1.04c,Classic/1.05,Classic/1.05b,Classic/1.06,Classic/1.06b,Classic/1.08,Classic/1.09,Classic/1.09b,Classic/1.09d,Classic/1.10,Classic/1.11,Classic/1.11b,Classic/1.12a,Classic/1.13c,Classic/1.13d,LoD/1.07,LoD/1.08,LoD/1.09,LoD/1.09b,LoD/1.09d,LoD/1.10,LoD/1.11,LoD/1.11b,LoD/1.12a,LoD/1.13c,LoD/1.13d
func_25879,func_25879,2,0.9,,,,,,,,,,,,,,,,,,0x6fb3a2d0,,,,,,,,,,,0x6fb3a2d0,,,,
func_25880,func_25880,2,0.9,,,,,,,,,,,,,,,,,,0x6fae22e0,,,,,,,,,,,0x6fae22e0,,,,
func_25881,func_25881,2,0.9,,,,,,,,,,,,,,,,,,0x6fb022e0,,,,,,,,,,,0x6fb022e0,,,,
func_25882,func_25882,2,0.9,,,,,,,,,,,,,,,,,,0x6fad62f0,,,,,,,,,,,0x6fad62f0,,,,
func_25883,func_25883,2,0.9,,,,,,,,,,,,,,,,,,0x6faea310,,,,,,,,,,,0x6faea310,,,,
func_25884,func_25884,2,0.9,,,,,,,,,,,,,,,,,,0x6fb38320,,,,,,,,,,,0x6fb38320,,,,
func_25885,func_25885,2,0.9,,,,,,,,,,,,,,,,,,0x6fafc330,,,,,,,,,,,0x6fafc330,,,,
func_25886,func_25886,2,0.9,,,,,,,,,,,,,,,,,,0x6fb3c340,0x6fb0ecf0,0x6fb4c5f0,0x6fb069a0,0x6faf0580,,,,,,,0x6fb3c340,0x6fb0ecf0,0x6fb4c5f0,0x6fb069a0,0x6faf0580
func_25887,ClearEntityFlagsAtOffset0xc4,2,0.9,,BOOL ClearEntityFlagsAtOffset0xc4(void * EntityPointer),,,,,,,,,,,,,,,,0x6fb3c360,0x6fb0ed10,0x6fb4c610,0x6fb069c0,0x6faf05a0,,,,,,,0x6fb3c360,0x6fb0ed10,0x6fb4c610,0x6fb069c0,0x6faf05a0
func_25888,ValidateEntityNestedFlagsNotBit0SetAndBit3Clear,2,0.9,,BOOL ValidateEntityNestedFlagsNotBit0SetAndBit3Clear(void * pEntityObject),,,,,,,,,,,,,,,,0x6fb223a0,0x6fb774c0,0x6fb75340,0x6fb77bc0,0x6fb76290,,,,,,,0x6fb223a0,0x6fb774c0,0x6fb75340,0x6fb77bc0,0x6fb76290
func_25889,func_25889,2,0.9,,,,,,,,,,,,,,,,,,0x6faca3c0,,,,,,,,,,,0x6faca3c0,,,,
func_25890,func_25890,2,0.9,,,,,,,,,,,,,,,,,,0x6fb343c0,,,,,,,,,,,0x6fb343c0,,,,
func_25891,func_25891,2,0.9,,,,,,,,,,,,,,,,,,0x6fafe3d0,,,,,,,,,,,0x6fafe3d0,,,,
