version,module_hint,address_hex,address_int,name,rel_file,line,signature,tag_rest
1.10f,D2Common,0x6FDAAD10,1876602128,PATH_RayTrace,source/D2Common/include/Path/PathMisc.h,52,"BOOL __fastcall PATH_RayTrace(D2DynamicPathStrc* pDynamicPath, D2PathPointStrc* pPathDestination, D2PathPointStrc tStartCoord);",
1.10f,D2Common,0x6FDAAD10,1876602128,PATH_RayTrace,source/D2Common/src/Path/PathMisc.cpp,375,"BOOL __fastcall PATH_RayTrace(D2DynamicPathStrc* pDynamicPath, D2PathPointStrc* pPathDestination, D2PathPointStrc tStartCoord) {",
1.10f,D2Common,0x6FDAB130,1876603184,PATH_Straight_Compute,source/D2Common/src/Path/PathMisc.cpp,581,int __fastcall PATH_Straight_Compute(D2PathInfoStrc* pPathInfo) {,
1.10f,D2Common,0x6FDAB1E0,1876603360,PATH_Leap_6FDAB1E0,source/D2Common/src/Path/PathMisc.cpp,622,int __fastcall PATH_Leap_6FDAB1E0(D2PathInfoStrc* pPathInfo) {,
1.10f,D2Common,0x6FDAB6A0,1876604576,sub_6FDAB6A0,source/D2Common/include/Path/PathMisc.h,15,"int __stdcall sub_6FDAB6A0(D2PathPointStrc pPoint1, D2PathPointStrc pPoint2);",
1.10f,D2Common,0x6FDAB6A0,1876604576,sub_6FDAB6A0,source/D2Common/src/Path/PathMisc.cpp,845,"int __stdcall sub_6FDAB6A0(D2PathPointStrc pPoint1, D2PathPointStrc pPoint2) {",
1.10f,D2Common,0x6FDAB770,1876604784,sub_6FDAB770,source/D2Common/include/Path/PathMisc.h,20,"int __stdcall sub_6FDAB770(D2PathPointStrc pPoint1, D2PathPointStrc pPoint2);",
1.10f,D2Common,0x6FDAB770,1876604784,sub_6FDAB770,source/D2Common/src/Path/PathMisc.cpp,858,"int __stdcall sub_6FDAB770(D2PathPointStrc pPoint1, D2PathPointStrc pPoint2) {",
1.10f,D2Common,0x6FDAB7D0,1876604880,sub_6FDAB7D0,source/D2Common/src/Path/PathMisc.cpp,876,"void __fastcall sub_6FDAB7D0(int* pTestDir, int nUnused, D2PathPointStrc pPoint1, D2PathPointStrc pPoint2) {",
1.10f,D2Common,0x6FDAB890,1876605072,PATHUtil_AdvanceTowardsTarget_6FDAB890,source/D2Common/include/Path/PathUtil.h,10,void __fastcall PATHUtil_AdvanceTowardsTarget_6FDAB890(D2DynamicPathStrc* ptPath);,
1.10f,D2Common,0x6FDAB890,1876605072,PATHUtil_AdvanceTowardsTarget_6FDAB890,source/D2Common/src/Path/PathUtil.cpp,5,void __fastcall PATHUtil_AdvanceTowardsTarget_6FDAB890(D2DynamicPathStrc* ptPath) {,
1.10f,D2Common,0x6FDAB940,1876605248,sub_6FDAB940,source/D2Common/include/Path/PathUtil.h,14,"void __fastcall sub_6FDAB940(D2PathPointStrc* pOutPathPoint, D2DynamicPathStrc* ptPath);",
1.10f,D2Common,0x6FDAB940,1876605248,sub_6FDAB940,source/D2Common/src/Path/PathUtil.cpp,21,"void __fastcall sub_6FDAB940(D2PathPointStrc* pOutPathPoint, D2DynamicPathStrc* ptPath) {",
1.10f,D2Common,0x6FDABAC0,1876605632,PATH_FindSubpathWithoutObstacles,source/D2Common/include/Path/PathWF.h,11,"int __fastcall PATH_FindSubpathWithoutObstacles(D2PathInfoStrc* pInfo, D2PathPointStrc tSubPathStart, D2PathPointStrc* pPathPoints, int* pSubPathStartIdx, int* nMaxIndex, int nMaxLength, int nMajorDirection);",
1.10f,D2Common,0x6FDAC170,1876607344,PATH_SimplifyToLines,source/D2Common/include/Path/PathWF.h,14,"int __fastcall PATH_SimplifyToLines(D2PathPointStrc* pOutPathPoints, D2PathPointStrc* pInputPoints, D2PathPointStrc tStartCoord, signed int nbTempPoints);",
1.10f,D2Common,0x6FDAC270,1876607600,PATH_ComputePathOrSlideAlongObstacles,source/D2Common/include/Path/PathWF.h,17,int __fastcall PATH_ComputePathOrSlideAlongObstacles(D2PathInfoStrc* ptPathInfo);,
1.10f,D2Common,0x6FDAC5E0,1876608480,PATH_GetDirectionVector,source/D2Common/include/Path/Step.h,12,"void __fastcall PATH_GetDirectionVector(D2CoordStrc* pDirectionVector, int* pOutDirection, DWORD dwStartPrecisionX, DWORD dwStartPrecisionY, DWORD dwTargetPrecisionX, DWORD dwTargetPrecisionY);",
1.10f,D2Common,0x6FDAC5E0,1876608480,PATH_GetDirectionVector,source/D2Common/src/Path/Step.cpp,156,"void __fastcall PATH_GetDirectionVector(D2CoordStrc* pDirectionVector, int* pOutDirection, DWORD dwStartPrecisionX, DWORD dwStartPrecisionY, DWORD dwTargetPrecisionX, DWORD dwTargetPrecisionY) {",
1.10f,D2Common,0x6FDAC790,1876608912,PATH_ComputeVelocityAndDirectionVectorsToNextPoint,source/D2Common/include/Path/PathMisc.h,69,"void __fastcall PATH_ComputeVelocityAndDirectionVectorsToNextPoint(D2DynamicPathStrc* pPath, BOOL bNormalizeDirectionIfSamePos, BOOL bForceDirectionNormalization);",
1.10f,D2Common,0x6FDAC790,1876608912,PATH_ComputeVelocityAndDirectionVectorsToNextPoint,source/D2Common/src/Path/PathMisc.cpp,1012,"void __fastcall PATH_ComputeVelocityAndDirectionVectorsToNextPoint(D2DynamicPathStrc* pPath, BOOL bNormalizeDirectionIfSamePos, BOOL bForceDirectionNormalization) {",
1.10f,D2Common,0x6FDAC8F0,1876609264,D2Common_10236,source/D2Common/include/Path/PathMisc.h,74,"D2COMMON_DLL_DECL int __stdcall D2Common_10236(D2UnitStrc* pUnit, int a2);",(#10236)
